paper,model,rater,score,source,category
1411.6026,s9_qkv,CP,6,individual,LoRA-QKV
1411.6026,s10_qkv,CP,10,individual,LoRA-QKV
1411.6026,ChatGPT-4,CP,6,individual,Commercial
1411.6026,Claude,CP,9,individual,Commercial
1411.6026,Gemini,CP,6,individual,Commercial
1411.6026,DeepSeek,CP,7,individual,Commercial
hep-th/0603239,Base,CP,4,individual,Base
hep-th/0603239,s1,CP,6,individual,LoRA-all
hep-th/0603239,s2,CP,6,individual,LoRA-all
hep-th/0603239,s3,CP,5,individual,LoRA-all
hep-th/0603239,s4,CP,8,individual,LoRA-all
hep-th/0603239,s5,CP,5,individual,LoRA-all
hep-th/0603239,s6,CP,7,individual,LoRA-all
hep-th/0603239,s7,CP,4,individual,LoRA-all
hep-th/0603239,s8,CP,5,individual,LoRA-all
hep-th/0603239,s9,CP,6,individual,LoRA-all
hep-th/0603239,s10,CP,9,individual,LoRA-all
hep-th/0603239,s1_qkv,CP,8,individual,LoRA-QKV
hep-th/0603239,s2_qkv,CP,4,individual,LoRA-QKV
hep-th/0603239,s3_qkv,CP,9,individual,LoRA-QKV
hep-th/0603239,s4_qkv,CP,6,individual,LoRA-QKV
hep-th/0603239,s5_qkv,CP,6,individual,LoRA-QKV
hep-th/0603239,s6_qkv,CP,5,individual,LoRA-QKV
hep-th/0603239,s7_qkv,CP,4,individual,LoRA-QKV
hep-th/0603239,s8_qkv,CP,5,individual,LoRA-QKV
hep-th/0603239,s9_qkv,CP,4,individual,LoRA-QKV
hep-th/0603239,s10_qkv,CP,6,individual,LoRA-QKV
hep-th/0603239,ChatGPT-4,CP,9,individual,Commercial
hep-th/0603239,Claude,CP,9,individual,Commercial
hep-th/0603239,Gemini,CP,7,individual,Commercial
hep-th/0603239,DeepSeek,CP,8,individual,Commercial
0806.1218,Base,CP,3,common,Base
0806.1218,s1,CP,4,common,LoRA-all
0806.1218,s2,CP,6,common,LoRA-all
0806.1218,s3,CP,7,common,LoRA-all
0806.1218,s4,CP,5,common,LoRA-all
0806.1218,s5,CP,7,common,LoRA-all
0806.1218,s6,CP,7,common,LoRA-all
0806.1218,s7,CP,6,common,LoRA-all
0806.1218,s8,CP,5,common,LoRA-all
0806.1218,s9,CP,4,common,LoRA-all
0806.1218,s10,CP,4,common,LoRA-all
0806.1218,s1_qkv,CP,4,common,LoRA-QKV
0806.1218,s2_qkv,CP,5,common,LoRA-QKV
0806.1218,s3_qkv,CP,3,common,LoRA-QKV
0806.1218,s4_qkv,CP,7,common,LoRA-QKV
0806.1218,s5_qkv,CP,6,common,LoRA-QKV
0806.1218,s6_qkv,CP,5,common,LoRA-QKV
0806.1218,s7_qkv,CP,6,common,LoRA-QKV
0806.1218,s8_qkv,CP,6,common,LoRA-QKV
0806.1218,s9_qkv,CP,6,common,LoRA-QKV
0806.1218,s10_qkv,CP,6,common,LoRA-QKV
0806.1218,ChatGPT-4,CP,10,common,Commercial
0806.1218,Claude,CP,9,common,Commercial
0806.1218,Gemini,CP,8,common,Commercial
0806.1218,DeepSeek,CP,7,common,Commercial
hep-th/9507121,Base,CP,2,individual,Base
hep-th/9507121,s1,CP,3,individual,LoRA-all
hep-th/9507121,s2,CP,5,individual,LoRA-all
hep-th/9507121,s3,CP,3,individual,LoRA-all
hep-th/9507121,s4,CP,5,individual,LoRA-all
hep-th/9507121,s5,CP,6,individual,LoRA-all
hep-th/9507121,s6,CP,1,individual,LoRA-all
hep-th/9507121,s7,CP,6,individual,LoRA-all
hep-th/9507121,s8,CP,5,individual,LoRA-all
hep-th/9507121,s9,CP,6,individual,LoRA-all
hep-th/9507121,s10,CP,7,individual,LoRA-all
hep-th/9507121,s1_qkv,CP,4,individual,LoRA-QKV
hep-th/9507121,s2_qkv,CP,3,individual,LoRA-QKV
hep-th/9507121,s3_qkv,CP,4,individual,LoRA-QKV
hep-th/9507121,s4_qkv,CP,4,individual,LoRA-QKV
hep-th/9507121,s5_qkv,CP,5,individual,LoRA-QKV
hep-th/9507121,s6_qkv,CP,5,individual,LoRA-QKV
hep-th/9507121,s7_qkv,CP,6,individual,LoRA-QKV
hep-th/9507121,s8_qkv,CP,6,individual,LoRA-QKV
hep-th/9507121,s9_qkv,CP,3,individual,LoRA-QKV
hep-th/9507121,s10_qkv,CP,5,individual,LoRA-QKV
hep-th/9507121,ChatGPT-4,CP,9,individual,Commercial
hep-th/9507121,Claude,CP,8,individual,Commercial
hep-th/9507121,Gemini,CP,7,individual,Commercial
hep-th/9507121,DeepSeek,CP,6,individual,Commercial
0903.0435,Base,VN,6,individual,Base
0903.0435,s1,VN,6,individual,LoRA-all
0903.0435,s2,VN,5,individual,LoRA-all
0903.0435,s3,VN,8,individual,LoRA-all
0903.0435,s4,VN,8,individual,LoRA-all
0903.0435,s5,VN,6,individual,LoRA-all
0903.0435,s6,VN,6,individual,LoRA-all
0903.0435,s7,VN,7,individual,LoRA-all
0903.0435,s8,VN,7,individual,LoRA-all
0903.0435,s9,VN,7,individual,LoRA-all
0903.0435,s10,VN,8,individual,LoRA-all
0903.0435,s1_qkv,VN,7,individual,LoRA-QKV
0903.0435,s2_qkv,VN,5,individual,LoRA-QKV
0903.0435,s3_qkv,VN,5,individual,LoRA-QKV
0903.0435,s4_qkv,VN,6,individual,LoRA-QKV
0903.0435,s5_qkv,VN,7,individual,LoRA-QKV
0903.0435,s6_qkv,VN,7,individual,LoRA-QKV
0903.0435,s7_qkv,VN,6,individual,LoRA-QKV
0903.0435,s8_qkv,VN,6,individual,LoRA-QKV
0903.0435,s9_qkv,VN,6,individual,LoRA-QKV
0903.0435,s10_qkv,VN,6,individual,LoRA-QKV
0903.0435,ChatGPT-4,VN,7,individual,Commercial
0903.0435,Claude,VN,7,individual,Commercial
0903.0435,Gemini,VN,6,individual,Commercial
0903.0435,DeepSeek,VN,8,individual,Commercial
1410.7773,Base,VN,5,individual,Base
1410.7773,s1,VN,6,individual,LoRA-all
1410.7773,s2,VN,6,individual,LoRA-all
1410.7773,s3,VN,7,individual,LoRA-all
1410.7773,s4,VN,6,individual,LoRA-all
1410.7773,s5,VN,6,individual,LoRA-all
1410.7773,s6,VN,6,individual,LoRA-all
1410.7773,s7,VN,6,individual,LoRA-all
1410.7773,s8,VN,5,individual,LoRA-all
1410.7773,s9,VN,5,individual,LoRA-all
1410.7773,s10,VN,6,individual,LoRA-all
1410.7773,s1_qkv,VN,6,individual,LoRA-QKV
1410.7773,s2_qkv,VN,6,individual,LoRA-QKV
1410.7773,s3_qkv,VN,5,individual,LoRA-QKV
1410.7773,s4_qkv,VN,4,individual,LoRA-QKV
1410.7773,s5_qkv,VN,4,individual,LoRA-QKV
1410.7773,s6_qkv,VN,5,individual,LoRA-QKV
1410.7773,s7_qkv,VN,7,individual,LoRA-QKV
1410.7773,s8_qkv,VN,6,individual,LoRA-QKV
1410.7773,s9_qkv,VN,5,individual,LoRA-QKV
1410.7773,s10_qkv,VN,6,individual,LoRA-QKV
1410.7773,ChatGPT-4,VN,9,individual,Commercial
1410.7773,Claude,VN,7,individual,Commercial
1410.7773,Gemini,VN,6,individual,Commercial
1410.7773,DeepSeek,VN,8,individual,Commercial
0708.2181,Base,VN,7,individual,Base
0708.2181,s1,VN,5,individual,LoRA-all
0708.2181,s2,VN,4,individual,LoRA-all
0708.2181,s3,VN,7,individual,LoRA-all
0708.2181,s4,VN,5,individual,LoRA-all
0708.2181,s5,VN,8,individual,LoRA-all
0708.2181,s6,VN,5,individual,LoRA-all
0708.2181,s7,VN,7,individual,LoRA-all
0708.2181,s8,VN,5,individual,LoRA-all
0708.2181,s9,VN,5,individual,LoRA-all
0708.2181,s10,VN,5,individual,LoRA-all
0708.2181,s1_qkv,VN,8,individual,LoRA-QKV
0708.2181,s2_qkv,VN,8,individual,LoRA-QKV
0708.2181,s3_qkv,VN,4,individual,LoRA-QKV
0708.2181,s4_qkv,VN,6,individual,LoRA-QKV
0708.2181,s5_qkv,VN,6,individual,LoRA-QKV
0708.2181,s6_qkv,VN,7,individual,LoRA-QKV
0708.2181,s7_qkv,VN,5,individual,LoRA-QKV
0708.2181,s8_qkv,VN,4,individual,LoRA-QKV
0708.2181,s9_qkv,VN,3,individual,LoRA-QKV
0708.2181,s10_qkv,VN,7,individual,LoRA-QKV
0708.2181,ChatGPT-4,VN,8,individual,Commercial
0708.2181,Claude,VN,9,individual,Commercial
0708.2181,Gemini,VN,7,individual,Commercial
0708.2181,DeepSeek,VN,7,individual,Commercial
2407.16476,Base,VN,4,individual,Base
2407.16476,s1,VN,6,individual,LoRA-all
2407.16476,s2,VN,5,individual,LoRA-all
2407.16476,s3,VN,6,individual,LoRA-all
2407.16476,s4,VN,6,individual,LoRA-all
2407.16476,s5,VN,6,individual,LoRA-all
2407.16476,s6,VN,7,individual,LoRA-all
2407.16476,s7,VN,7,individual,LoRA-all
2407.16476,s8,VN,7,individual,LoRA-all
2407.16476,s9,VN,4,individual,LoRA-all
2407.16476,s10,VN,8,individual,LoRA-all
2407.16476,s1_qkv,VN,3,individual,LoRA-QKV
2407.16476,s2_qkv,VN,5,individual,LoRA-QKV
2407.16476,s3_qkv,VN,4,individual,LoRA-QKV
2407.16476,s4_qkv,VN,4,individual,LoRA-QKV
2407.16476,s5_qkv,VN,4,individual,LoRA-QKV
2407.16476,s6_qkv,VN,5,individual,LoRA-QKV
2407.16476,s7_qkv,VN,8,individual,LoRA-QKV
2407.16476,s8_qkv,VN,5,individual,LoRA-QKV
2407.16476,s9_qkv,VN,4,individual,LoRA-QKV
2407.16476,s10_qkv,VN,6,individual,LoRA-QKV
2407.16476,ChatGPT-4,VN,10,individual,Commercial
2407.16476,Claude,VN,9,individual,Commercial
2407.16476,Gemini,VN,10,individual,Commercial
2407.16476,DeepSeek,VN,9,individual,Commercial
1807.04296,Base,VN,4,individual,Base
1807.04296,s1,VN,5,individual,LoRA-all
1807.04296,s2,VN,5,individual,LoRA-all
1807.04296,s3,VN,7,individual,LoRA-all
1807.04296,s4,VN,5,individual,LoRA-all
1807.04296,s5,VN,4,individual,LoRA-all
1807.04296,s6,VN,6,individual,LoRA-all
1807.04296,s7,VN,6,individual,LoRA-all
1807.04296,s8,VN,6,individual,LoRA-all
1807.04296,s9,VN,5,individual,LoRA-all
1807.04296,s10,VN,4,individual,LoRA-all
1807.04296,s1_qkv,VN,6,individual,LoRA-QKV
1807.04296,s2_qkv,VN,3,individual,LoRA-QKV
1807.04296,s3_qkv,VN,4,individual,LoRA-QKV
1807.04296,s4_qkv,VN,4,individual,LoRA-QKV
1807.04296,s5_qkv,VN,4,individual,LoRA-QKV
1807.04296,s6_qkv,VN,3,individual,LoRA-QKV
1807.04296,s7_qkv,VN,3,individual,LoRA-QKV
1807.04296,s8_qkv,VN,4,individual,LoRA-QKV
1807.04296,s9_qkv,VN,3,individual,LoRA-QKV
1807.04296,s10_qkv,VN,2,individual,LoRA-QKV
1807.04296,ChatGPT-4,VN,7,individual,Commercial
1807.04296,Claude,VN,6,individual,Commercial
1807.04296,Gemini,VN,6,individual,Commercial
1807.04296,DeepSeek,VN,7,individual,Commercial
0801.0762,Base,VN,4,individual,Base
0801.0762,s1,VN,7,individual,LoRA-all
0801.0762,s2,VN,6,individual,LoRA-all
0801.0762,s3,VN,8,individual,LoRA-all
0801.0762,s4,VN,8,individual,LoRA-all
0801.0762,s5,VN,6,individual,LoRA-all
0801.0762,s6,VN,5,individual,LoRA-all
0801.0762,s7,VN,4,individual,LoRA-all
0801.0762,s8,VN,5,individual,LoRA-all
0801.0762,s9,VN,5,individual,LoRA-all
0801.0762,s10,VN,9,individual,LoRA-all
0801.0762,s1_qkv,VN,4,individual,LoRA-QKV
0801.0762,s2_qkv,VN,7,individual,LoRA-QKV
0801.0762,s3_qkv,VN,4,individual,LoRA-QKV
0801.0762,s4_qkv,VN,4,individual,LoRA-QKV
0801.0762,s5_qkv,VN,4,individual,LoRA-QKV
0801.0762,s6_qkv,VN,3,individual,LoRA-QKV
0801.0762,s7_qkv,VN,4,individual,LoRA-QKV
0801.0762,s8_qkv,VN,3,individual,LoRA-QKV
0801.0762,s9_qkv,VN,5,individual,LoRA-QKV
0801.0762,s10_qkv,VN,3,individual,LoRA-QKV
0801.0762,ChatGPT-4,VN,9,individual,Commercial
0801.0762,Claude,VN,9,individual,Commercial
0801.0762,Gemini,VN,6,individual,Commercial
0801.0762,DeepSeek,VN,8,individual,Commercial
2108.08859,Base,VN,3,individual,Base
2108.08859,s1,VN,5,individual,LoRA-all
2108.08859,s2,VN,4,individual,LoRA-all
2108.08859,s3,VN,8,individual,LoRA-all
2108.08859,s4,VN,8,individual,LoRA-all
2108.08859,s5,VN,7,individual,LoRA-all
2108.08859,s6,VN,7,individual,LoRA-all
2108.08859,s7,VN,7,individual,LoRA-all
2108.08859,s8,VN,5,individual,LoRA-all
2108.08859,s9,VN,6,individual,LoRA-all
2108.08859,s10,VN,5,individual,LoRA-all
2108.08859,s1_qkv,VN,2,individual,LoRA-QKV
2108.08859,s2_qkv,VN,4,individual,LoRA-QKV
2108.08859,s3_qkv,VN,6,individual,LoRA-QKV
2108.08859,s4_qkv,VN,6,individual,LoRA-QKV
2108.08859,s5_qkv,VN,4,individual,LoRA-QKV
2108.08859,s6_qkv,VN,4,individual,LoRA-QKV
2108.08859,s7_qkv,VN,5,individual,LoRA-QKV
2108.08859,s8_qkv,VN,4,individual,LoRA-QKV
2108.08859,s9_qkv,VN,6,individual,LoRA-QKV
2108.08859,s10_qkv,VN,7,individual,LoRA-QKV
2108.08859,ChatGPT-4,VN,10,individual,Commercial
2108.08859,Claude,VN,8,individual,Commercial
2108.08859,Gemini,VN,7,individual,Commercial
2108.08859,DeepSeek,VN,9,individual,Commercial
1911.05827,Base,VN,4,individual,Base
1911.05827,s1,VN,4,individual,LoRA-all
1911.05827,s2,VN,4,individual,LoRA-all
1911.05827,s3,VN,7,individual,LoRA-all
1911.05827,s4,VN,8,individual,LoRA-all
1911.05827,s5,VN,5,individual,LoRA-all
1911.05827,s6,VN,4,individual,LoRA-all
1911.05827,s7,VN,5,individual,LoRA-all
1911.05827,s8,VN,4,individual,LoRA-all
1911.05827,s9,VN,4,individual,LoRA-all
1911.05827,s10,VN,4,individual,LoRA-all
1911.05827,s1_qkv,VN,4,individual,LoRA-QKV
1911.05827,s2_qkv,VN,3,individual,LoRA-QKV
1911.05827,s3_qkv,VN,3,individual,LoRA-QKV
1911.05827,s4_qkv,VN,4,individual,LoRA-QKV
1911.05827,s5_qkv,VN,3,individual,LoRA-QKV
1911.05827,s6_qkv,VN,3,individual,LoRA-QKV
1911.05827,s7_qkv,VN,3,individual,LoRA-QKV
1911.05827,s8_qkv,VN,4,individual,LoRA-QKV
1911.05827,s9_qkv,VN,3,individual,LoRA-QKV
1911.05827,s10_qkv,VN,3,individual,LoRA-QKV
1911.05827,ChatGPT-4,VN,8,individual,Commercial
1911.05827,Claude,VN,10,individual,Commercial
1911.05827,Gemini,VN,10,individual,Commercial
1911.05827,DeepSeek,VN,7,individual,Commercial
2209.02801,Base,VN,3,individual,Base
2209.02801,s1,VN,4,individual,LoRA-all
2209.02801,s2,VN,5,individual,LoRA-all
2209.02801,s3,VN,5,individual,LoRA-all
2209.02801,s4,VN,3,individual,LoRA-all
2209.02801,s5,VN,2,individual,LoRA-all
2209.02801,s6,VN,2,individual,LoRA-all
2209.02801,s7,VN,2,individual,LoRA-all
2209.02801,s8,VN,2,individual,LoRA-all
2209.02801,s9,VN,2,individual,LoRA-all
2209.02801,s10,VN,5,individual,LoRA-all
2209.02801,s1_qkv,VN,6,individual,LoRA-QKV
2209.02801,s2_qkv,VN,3,individual,LoRA-QKV
2209.02801,s3_qkv,VN,4,individual,LoRA-QKV
2209.02801,s4_qkv,VN,3,individual,LoRA-QKV
2209.02801,s5_qkv,VN,5,individual,LoRA-QKV
2209.02801,s6_qkv,VN,3,individual,LoRA-QKV
2209.02801,s7_qkv,VN,2,individual,LoRA-QKV
2209.02801,s8_qkv,VN,6,individual,LoRA-QKV
2209.02801,s9_qkv,VN,3,individual,LoRA-QKV
2209.02801,s10_qkv,VN,2,individual,LoRA-QKV
2209.02801,ChatGPT-4,VN,7,individual,Commercial
2209.02801,Claude,VN,9,individual,Commercial
2209.02801,Gemini,VN,10,individual,Commercial
2209.02801,DeepSeek,VN,8,individual,Commercial
1011.5900,Base,VN,5,individual,Base
1011.5900,s1,VN,4,individual,LoRA-all
1011.5900,s2,VN,3,individual,LoRA-all
1011.5900,s3,VN,5,individual,LoRA-all
1011.5900,s4,VN,4,individual,LoRA-all
1011.5900,s5,VN,5,individual,LoRA-all
1011.5900,s6,VN,4,individual,LoRA-all
1011.5900,s7,VN,4,individual,LoRA-all
1011.5900,s8,VN,4,individual,LoRA-all
1011.5900,s9,VN,4,individual,LoRA-all
1011.5900,s10,VN,2,individual,LoRA-all
1011.5900,s1_qkv,VN,4,individual,LoRA-QKV
1011.5900,s2_qkv,VN,4,individual,LoRA-QKV
1011.5900,s3_qkv,VN,4,individual,LoRA-QKV
1011.5900,s4_qkv,VN,3,individual,LoRA-QKV
1011.5900,s5_qkv,VN,3,individual,LoRA-QKV
1011.5900,s6_qkv,VN,3,individual,LoRA-QKV
1011.5900,s7_qkv,VN,3,individual,LoRA-QKV
1011.5900,s8_qkv,VN,3,individual,LoRA-QKV
1011.5900,s9_qkv,VN,3,individual,LoRA-QKV
1011.5900,s10_qkv,VN,3,individual,LoRA-QKV
1011.5900,ChatGPT-4,VN,9,individual,Commercial
1011.5900,Claude,VN,10,individual,Commercial
1011.5900,Gemini,VN,9,individual,Commercial
1011.5900,DeepSeek,VN,7,individual,Commercial
0806.1218,Base,VN,3,common,Base
0806.1218,s1,VN,4,common,LoRA-all
0806.1218,s2,VN,4,common,LoRA-all
0806.1218,s3,VN,5,common,LoRA-all
0806.1218,s4,VN,7,common,LoRA-all
0806.1218,s5,VN,6,common,LoRA-all
0806.1218,s6,VN,5,common,LoRA-all
0806.1218,s7,VN,6,common,LoRA-all
0806.1218,s8,VN,5,common,LoRA-all
0806.1218,s9,VN,5,common,LoRA-all
0806.1218,s10,VN,5,common,LoRA-all
0806.1218,s1_qkv,VN,6,common,LoRA-QKV
0806.1218,s2_qkv,VN,6,common,LoRA-QKV
0806.1218,s3_qkv,VN,4,common,LoRA-QKV
0806.1218,s4_qkv,VN,5,common,LoRA-QKV
0806.1218,s5_qkv,VN,5,common,LoRA-QKV
0806.1218,s6_qkv,VN,4,common,LoRA-QKV
0806.1218,s7_qkv,VN,5,common,LoRA-QKV
0806.1218,s8_qkv,VN,6,common,LoRA-QKV
0806.1218,s9_qkv,VN,4,common,LoRA-QKV
0806.1218,s10_qkv,VN,4,common,LoRA-QKV
0806.1218,ChatGPT-4,VN,10,common,Commercial
